Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Harry Davis (footballer born 1879),England,,,Midfielder,1903,3,1,,,,,,
Harry Hadley,England,,,Midfielder,1903,1,0,,,,,,
Tom Holford,England,,,Midfielder,1903,1,0,,,,,,
Percy Humphreys,England,,,Forward,1903,1,0,,,,,,
Arthur Lockett,England,,,Forward,1903,1,0,,,,,,
Archie Gray,Scotland,,,Defender,1903,1,0,,,,,,
Willie Orr,Scotland,,,Defender,1903,1,0,,,,,,
Tom Baddeley,England,,,Goalkeeper,1903.5,5,0,,,,,,
Alex Raisbeck,Scotland,,,Defender,1903.5,8,0,,,,,,
Carlos Brown (footballer),Argentina,,,,1904,,,,,,,,
Karl St&#xFC;rmer,Austria,,,Defender,1904,2,0,,,,,,
Alfred Verdyck,Belgium,,,Goalkeeper,1904,1,0,,,,,,
Billy Brawn,England,,,Forward,1904,2,0,,,,,,
George Davis (footballer),England,,,Forward,1904,2,1,,,,,,
Kelly Houlker,England,,,Midfielder,1904,5,0,,,,,,
Bert Lee (footballer),England,,,Midfielder,1904,1,0,,,,,,
Jack Sharp,England,,,Forward,1904,2,1,,,,,,
Bernard Wilkinson,England,,,Defender,1904,1,0,,,,,,
Sandy Brown (footballer born 1879),Scotland,,,Forward,1904,1,0,,,,,,
George Henderson (footballer),Scotland,,,Midfielder,1904,1,0,,,,,,
Andy McCombie,Scotland,,,Defender,1904,4,0,,,,,,
Harry Rennie,Scotland,,,Goalkeeper,1904,13,0,,,,,,
Harry Ruddlesdin,England,,,Midfielder,1904.5,3,0,,,,,,
Herbert Smith (footballer),England,,,Defender,1904.5,4,0,,,,,,
Sam Wolstenholme,England,,,Defender,1904.5,3,0,,,,,,
Billy Balmer,England,,,Defender,1905,1,0,,,,,,
Frank Booth (footballer),England,,,Forward,1905,1,0,,,,,,
Arthur Brown (footballer born 1885),England,,,Forward,1905,2,1,,,,,,
Herbert Burgess,England,,,Defender,1905,4,0,,,,,,
Alf Common,England,,,Forward,1905,3,2,,,,,,
Stanley Harris (footballer),England,,,Forward,1905,6,2,,,,,,
Harry Linacre,England,,,Goalkeeper,1905,2,0,,,,,,
Peet Stol,Netherlands,,,,1905,2,0,,,,,,
Willy de Vos,Netherlands,,,,1905,2,0,,,,,,
Robert Hamilton (footballer),Scotland,,,Forward,1905,11,15,,,,,,
Dolf Kessler,Netherlands,,,,1905.5,3,0,,,,,,
Max Tobias,Belgium,,,Midfielder,1906,7,0,,,,,,
Jimmy Ashcroft,England,,,Goalkeeper,1906,3,0,,,,,,
Jack Carr (footballer born 1876),England,,,Defender,1906,2,0,,,,,,
James Conlin,England,,,Forward,1906,1,0,,,,,,
Samuel Day (sportsman),England,,,Forward,1906,3,2,,,,,,
Bert Gosnell,England,,,Forward,1906,1,0,,,,,,
Jock Rutherford,England,,,Midfielder,1906,11,3,,,,,,
Gaston Cypr&#xE8;s,France,,,Forward,1906,,,,,,,,
Marius Royet,France,,,Forward,1906,9,2,,,,,,
Jo Eshuijs,Netherlands,,,,1906,1,0,,,,,,
Anton Lens,Netherlands,,,,1906,2,0,,,,,,
Andy Aitken (footballer born 1877),Scotland,,,Defender,1906,14,0,,,,,,
Billy Dunlop,Scotland,,,Defender,1906,1,0,,,,,,
Jimmy Watson (footballer born 1877),Scotland,,,Defender,1906,6,0,,,,,,
Alex Young (footballer born 1880),Scotland,,1.74,Forward,1906,2,0,,,,,,
Harold Hardman,England,,,Forward,1906.5,4,1,,,,,,
Toine van Renterghem,Netherlands,,,,1906.5,3,0,,,,,,
Ben Stom,Netherlands,,,,1906.5,9,0,,,,,,
Ferry van der Vinne,Netherlands,,,,1906.5,3,1,,,,,,
Jock Cameron (footballer),Scotland,,,Defender,1906.5,2,0,,,,,,
James Howie,Scotland,,,Forward,1906.5,3,2,,,,,,
Peter McBride,Scotland,,,Goalkeeper,1906.5,6,0,,,,,,
Jimmy Sharp,Scotland,,,Defender,1906.5,5,0,,,,,,
George Stewart (footballer born 1883),Scotland,,,Forward,1906.5,4,0,,,,,,
Bobby Walker (footballer born 1879),Scotland,,,Forward,1906.5,29,8,,,,,,
Ernesto Brown,Argentina,,,Defender,1907,12,1,,,,,,
Joseph Bache,England,,,Forward,1907,7,4,,,,,,
Arthur Bridgett,England,,,Forward,1907,11,3,,,,,,
Tim Coleman,England,,,Forward,1907,1,0,,,,,,
Vivian Woodward,England,,,Forward,1907,23,29,,,,,,
Kees Bekker,Netherlands,,,,1907,6,0,,,,,,
Lo La Chapelle,Netherlands,,,,1907,1,0,,,,,,
John Fraser (footballer born 1876),Scotland,,,Midfielder,1907,1,0,,,,,,
George Livingstone,Scotland,,,Forward,1907,1,0,,,,,,
Frank O&apos;Rourke (footballer),Scotland,,,Forward,1907,1,1,,,,,,
Jorge Brown,Argentina,,,Defender,1907.5,23,4,,,,,,
Dicky Bond,England,,,Forward,1907.5,8,2,,,,,,
Colin Veitch,England,,,,1907.5,6,0,,,,,,
William Agnew (footballer),Scotland,,,Defender,1907.5,3,0,,,,,,
Sandy MacFarlane,Scotland,,,Forward,1907.5,3,1,,,,,,
John May (footballer),Scotland,,,Midfielder,1907.5,5,0,,,,,,
Bobby Templeton (footballer born 1880),Scotland,,,Forward,1907.5,11,1,,,,,,
Ernst Jordan,Germany,,,Defender,1908,1,0,,,,,,
Arno Neumann,Germany,,,Forward,1908,1,0,,,,,,
Willy T&#xE4;nzer,Germany,,,Defender,1908,1,0,,,,,,
Horace Bailey,England,,,Goalkeeper,1908,5,0,,,,,,
Frank Bradshaw,England,,,Defender,1908,1,3,,,,,,
Bob Crompton,England,,,Defender,1908,41,0,,,,,,
Robert Hawkes,England,,,Midfielder,1908,3,2,,,,,,
George Hilsdon,England,,,Forward,1908,8,14,,,,,,
Harry Maskrey,England,,,Goalkeeper,1908,1,0,,,,,,
Guus Lutjens,Netherlands,,,,1908,14,5,,,,,,
George Chaplin,Scotland,,,Defender,1908,1,0,,,,,,
Willie Lennie,Scotland,,,Midfielder,1908,2,1,,,,,,
Peter McWilliam,Scotland,,,Midfielder,1908,8,0,,,,,,
Jimmy Speirs,Scotland,,,Forward,1908,1,0,,,,,,
Alfredo Brown,Argentina,,,Forward,1908.5,,,,,,,,
Eliseo Brown,Argentina,,,Forward,1908.5,,,,,,,,
Arthur Hiller (footballer),Germany,,,Midfielder,1908.5,4,0,,,,,,
Heinrich Riso,Germany,,,Defender,1908.5,2,0,,,,,,
Evelyn Lintott,England,,,Defender,1908.5,7,0,,,,,,
Ben Warren,England,,,Defender,1908.5,22,2,,,,,,
Jimmy Windridge,England,,,Forward,1908.5,8,7,,,,,,
Alex Bennett (footballer),Scotland,,,,1908.5,10,0,,,,,,
Leopold Richter,Germany,,,Midfielder,1909,1,0,,,,,,
Hermann Schweickert,Germany,,,Forward,1909,1,0,,,,,,
Joe Cottle,England,,,Defender,1909,1,0,,,,,,
Harold Halse,England,,,Forward,1909,1,2,,,,,,
Fred Pentland,England,,,Forward,1909,5,0,,,,,,
George Richards (English footballer),England,,,Midfielder,1909,1,0,,,,,,
James Stewart (footballer born 1883),England,,,Forward,1909,3,2,,,,,,
Tim Williamson,England,,,Goalkeeper,1909,7,0,,,,,,
B&#xE9;la Sebesty&#xE9;n,Hungary,,,Midfielder,1909,24,2,,,,,,
John Hunter (footballer),Scotland,,1.78,Forward,1909,1,0,,,,,,
James Main,Scotland,,,Defender,1909,1,0,,,,,,
Arnold Watson Hutton,Argentina,,,Forward,1909.5,17,6,,,,,,
Robert De Veen,Belgium,,,Forward,1909.5,23,26,,,,,,
Vahram Kevorkian,Belgium,,,Forward,1909.5,1,1,,,,,,
Charlie Roberts,England,,,Midfielder,1909.5,9,,,,,,,
G&#xE1;sp&#xE1;r Borb&#xE1;s,Hungary,,,Midfielder,1909.5,41,11,,,,,,
Richard Kohn,Austria,,,Midfielder,1910,6,2,,,,,,
Ladislaus Kurpiel,Austria,,,Midfielder,1910,8,0,,,,,,
Jan Studnicka,Austria,,,Forward,1910,28,18,,,,,,
