Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Andr&#xE9; Almeida,Portugal,23,1.86,Defender,2013.5,7,0,,,,,,
William Carvalho,Portugal,22,1.87,Midfielder,2013.5,6,0,,,,,,
Josu&#xE9; Pesqueira,Portugal,23,1.74,Midfielder,2013.5,4,0,,,,,,
Lic&#xE1;,Portugal,25,1.81,Forward,2013.5,1,0,,,,,,
Andr&#xE9; Martins (footballer born 1990),Portugal,24,1.66,Midfielder,2013.5,2,0,,,,,,
Lu&#xED;s Neto,Portugal,26,1.87,Defender,2013.5,9,0,,,,,,
Henrique Sereno,Portugal,29,1.88,Defender,2013.5,2,0,,,,,,
Vieirinha,Portugal,28,1.72,Midfielder,2013.5,10,1,,,,,,
Bartosz Bereszy&#x144;ski,Poland,22,1.82,Defender,2013.5,2,0,,,,,,
Pawe&#x142; Olkowski,Poland,24,1.84,Defender,2013.5,6,0,,,,,,
Bartosz Salamon,Poland,23,1.95,Defender,2013.5,5,0,,,,,,
Mariusz St&#x119;pi&#x144;ski,Poland,19,1.83,Forward,2013.5,1,0,,,,,,
&#x141;ukasz Szuka&#x142;a,Poland,30,1.95,Defender,2013.5,6,0,,,,,,
Piotr Zieli&#x144;ski,Poland,20,1.77,Midfielder,2013.5,5,3,,,,,,
J&#xFA;nior Alonso,Paraguay,21,1.85,Defender,2013.5,1,0,,,,,,
Gustavo G&#xF3;mez,Paraguay,21,1.86,Defender,2013.5,5,2,,,,,,
Luis Mi&#xF1;o,Paraguay,25,1.83,Midfielder,2013.5,1,0,,,,,,
Jorge Moreira,Paraguay,24,1.75,Defender,2013.5,2,0,,,,,,
&#xC1;ngel Romero (footballer),Paraguay,22,1.77,Forward,2013.5,1,0,,,,,,
&#xD3;scar Romero (footballer),Paraguay,22,1.76,Forward,2013.5,6,1,,,,,,
Antonio Sanabria,Paraguay,18,1.8,Forward,2013.5,3,0,,,,,,
Vladimir Granat,Russia,27,1.84,Defender,2013.5,5,0,,,,,,
Yuri Lodigin,Russia,24,1.87,Goalkeeper,2013.5,3,0,,,,,,
Aleksei Anatolyevich Kozlov,Russia,27,1.86,Defender,2013.5,11,0,,,,,,
Oleg Shatov,Russia,24,1.73,Midfielder,2013.5,7,2,,,,,,
Igor Smolnikov,Russia,26,1.78,Defender,2013.5,1,0,,,,,,
Dmitri Tarasov (footballer),Russia,27,1.92,Midfielder,2013.5,2,1,,,,,,
Ikechi Anya,Scotland,26,1.7,Midfielder,2013.5,6,1,,,,,,
George Boyd (footballer),Scotland,28,,Midfielder,2013.5,2,0,,,,,,
Liam Bridcutt,Scotland,25,,Midfielder,2013.5,1,0,,,,,,
Gordon Greer,Scotland,33,1.9,Defender,2013.5,4,0,,,,,,
Gary Mackay-Steven,Scotland,23,1.75,Midfielder,2013.5,1,0,,,,,,
Nikola &#x110;ur&#x111;i&#x107;,Serbia,28,1.86,Forward,2013.5,1,0,,,,,,
Milo&#x161; Joji&#x107;,Serbia,22,1.77,Midfielder,2013.5,4,1,,,,,,
Nenad Krsti&#x10D;i&#x107;,Serbia,24,1.82,Midfielder,2013.5,3,0,,,,,,
Aleksandar Mitrovi&#x107; (footballer),Serbia,19,1.89,Forward,2013.5,6,1,,,,,,
Predrag Rajkovi&#x107;,Serbia,18,1.91,Goalkeeper,2013.5,1,0,,,,,,
Branislav Trajkovi&#x107;,Serbia,24,1.9,Defender,2013.5,1,0,,,,,,
Andrija &#x17D;ivkovi&#x107;,Serbia,18,1.7,Midfielder,2013.5,2,0,,,,,,
Gregor Bala&#x17E;ic,Slovenia,26,1.9,Defender,2013.5,2,0,,,,,,
Roman Bezjak,Slovenia,25,1.79,Forward,2013.5,5,0,,,,,,
&#x17D;eljko Filipovi&#x107;,Slovenia,25,1.94,Midfielder,2013.5,3,0,,,,,,
Martin Milec,Slovenia,22,1.74,Defender,2013.5,3,0,,,,,,
Aleksander Raj&#x10D;evi&#x107;,Slovenia,27,1.85,Defender,2013.5,1,0,,,,,,
Miral Samard&#x17E;i&#x107;,Slovenia,27,1.87,Defender,2013.5,3,0,,,,,,
Baek Sung-dong,South Korea,23,1.71,Forward,2013.5,1,0,,,,,,
Aurelian Chi&#x21B;u,Romania,23,1.83,Forward,2013.5,2,0,,,,,,
Ovidiu Hoban,Romania,31,1.82,Midfielder,2013.5,6,0,,,,,,
Adrian Stoian,Romania,23,1.78,Midfielder,2013.5,1,0,,,,,,
Alejandro Silva Gonz&#xE1;lez,Uruguay,24,1.78,Defender,2013.5,2,0,,,,,,
Fabian Sch&#xE4;r,Switzerland,22,1.87,Defender,2013.5,8,3,,,,,,
Haris Seferovi&#x107;,Switzerland,22,1.87,Forward,2013.5,16,2,,,,,,
Christoffer Nyman,Sweden,21,1.83,Forward,2013.5,2,0,,,,,,
Ivo P&#x119;kalski,Sweden,23,1.83,Midfielder,2013.5,2,0,,,,,,
Viktor Prodell,Sweden,26,1.89,Forward,2013.5,1,0,,,,,,
Erkan Zengin,Sweden,29,1.8,Midfielder,2013.5,5,0,,,,,,
Adem B&#xFC;y&#xFC;k,Turkey,26,1.77,Forward,2013.5,2,0,,,,,,
Hakan &#xC7;alhano&#x11F;lu,Turkey,20,1.78,Midfielder,2013.5,5,0,,,,,,
U&#x11F;ur &#xC7;ift&#xE7;i,Turkey,22,1.79,Defender,2013.5,1,0,,,,,,
Aykut Demir,Turkey,25,1.8,Defender,2013.5,1,0,,,,,,
Ersan G&#xFC;l&#xFC;m,Turkey,27,1.85,Defender,2013.5,4,0,,,,,,
Ayta&#xE7; Kara,Turkey,21,1.88,Midfielder,2013.5,1,0,,,,,,
Ahmet &#x130;lhan &#xD6;zek,Turkey,26,1.83,Midfielder,2013.5,4,2,,,,,,
O&#x11F;uzhan &#xD6;zyakup,Turkey,21,1.8,Midfielder,2013.5,7,0,,,,,,
Olcay &#x15E;ahan,Turkey,27,1.77,Midfielder,2013.5,11,2,,,,,,
Veysel Sar&#x131;,Turkey,26,1.82,Defender,2013.5,2,1,,,,,,
Cenk Tosun,Turkey,23,1.83,Forward,2013.5,1,0,,,,,,
Salih U&#xE7;an,Turkey,20,1.83,Midfielder,2013.5,1,0,,,,,,
Sefa Y&#x131;lmaz,Turkey,24,1.83,Midfielder,2013.5,2,0,,,,,,
Dmytro Hrechyshkin,Ukraine,22,1.77,Midfielder,2013.5,2,0,,,,,,
C&#xE9;sar Azpilicueta,Spain,24,1.78,Defender,2013.5,8,0,,,,,,
Marc Bartra,Spain,23,1.83,Defender,2013.5,1,0,,,,,,
Isco,Spain,22,1.76,Midfielder,2013.5,2,0,,,,,,
Koke (footballer born 1992),Spain,22,1.78,Midfielder,2013.5,10,0,,,,,,
I&#xF1;igo Mart&#xED;nez,Spain,23,1.81,Defender,2013.5,1,0,,,,,,
Michu,Spain,28,1.85,Forward,2013.5,1,0,,,,,,
Alberto Moreno (footballer),Spain,22,1.71,Defender,2013.5,3,0,,,,,,
Nacho (footballer born 1990),Spain,24,1.79,Defender,2013.5,1,0,,,,,,
Mario Su&#xE1;rez Mata,Spain,27,1.88,Midfielder,2013.5,2,0,,,,,,
Cristian Tello,Spain,23,1.78,Forward,2013.5,1,0,,,,,,
Jorge Pereyra D&#xED;az,Argentina,24,1.78,Forward,2014,8,8,,,,,,
Adnan Januzaj,Belgium,19,1.8,Midfielder,2014,2,0,,,,,,
Divock Origi,Belgium,19,1.85,Forward,2014,8,1,,,,,,
Miiko Albornoz,Chile,23,1.8,Defender,2014,2,1,,,,,,
Pablo Hern&#xE1;ndez (footballer born 1986),Chile,27,1.85,Midfielder,2014,1,2,,,,,,
Pierre H&#xF8;jbjerg,Denmark,19,1.85,Midfielder,2014,1,0,,,,,,
Mate Male&#x161;,Croatia,25,1.81,Midfielder,2014,1,0,,,,,,
Maximilian Arnold,Germany,20,1.83,Midfielder,2014,1,0,,,,,,
Erik Durm,Germany,22,1.83,Defender,2014,1,0,,,,,,
Matthias Ginter,Germany,20,1.87,Defender,2014,2,0,,,,,,
Leon Goretzka,Germany,19,1.89,Midfielder,2014,1,0,,,,,,
Christian G&#xFC;nter,Germany,21,1.84,Defender,2014,1,0,,,,,,
Andr&#xE9; Hahn,Germany,24,1.85,Midfielder,2014,1,0,,,,,,
Christoph Kramer,Germany,23,1.9,Midfielder,2014,5,0,,,,,,
Max Meyer (footballer),Germany,18,1.73,Midfielder,2014,1,0,,,,,,
Shkodran Mustafi,Germany,22,1.84,Defender,2014,4,0,,,,,,
Sebastian Rudy,Germany,24,1.79,Midfielder,2014,1,0,,,,,,
Antonio R&#xFC;diger,Germany,21,1.9,Defender,2014,1,0,,,,,,
Oliver Sorg,Germany,24,1.75,Defender,2014,1,0,,,,,,
Frank Liivak,Estonia,18,1.85,Forward,2014,1,0,,,,,,
Artur Pikk,Estonia,21,1.76,Defender,2014,1,0,,,,,,
Maksim Podholjuzin,Estonia,21,1.81,Defender,2014,1,0,,,,,,
Igor Subbotin,Estonia,24,1.87,Midfielder,2014,1,0,,,,,,
Jon Flanagan,England,21,1.81,Defender,2014,1,0,,,,,,
Luke Shaw,England,19,1.85,Defender,2014,3,0,,,,,,
John Stones,England,20,1.88,Defender,2014,2,0,,,,,,
R&#xE9;my Cabella,France,24,1.71,Midfielder,2014,1,0,,,,,,
Antoine Griezmann,France,23,1.76,Midfielder,2014,9,3,,,,,,
Morgan Schneiderlin,France,24,,Midfielder,2014,2,0,,,,,,
Predrag Bo&#x161;njak,Hungary,28,1.8,Defender,2014,1,0,,,,,,
M&#xE1;rk&#xF3; Fut&#xE1;cs,Hungary,24,1.96,Forward,2014,3,0,,,,,,
P&#xE9;ter Gul&#xE1;csi,Hungary,24,1.91,Goalkeeper,2014,1,0,,,,,,
Tibor Heffler,Hungary,27,1.8,Midfielder,2014,2,0,,,,,,
Zsolt Kalm&#xE1;r,Hungary,19,1.85,Midfielder,2014,3,0,,,,,,
Mih&#xE1;ly Korhut,Hungary,25,1.81,Defender,2014,3,0,,,,,,
&#xC1;d&#xE1;m Lang,Hungary,21,,Defender,2014,3,0,,,,,,
G&#xE1;bor Nagy (footballer born 1985),Hungary,28,1.83,Midfielder,2014,1,0,,,,,,
D&#xE1;niel R&#xF3;zsa,Hungary,29,1.88,Goalkeeper,2014,2,0,,,,,,
Kriszti&#xE1;n Simon,Hungary,23,1.76,Midfielder,2014,1,0,,,,,,
J&#xE1;nos Szab&#xF3; (footballer),Hungary,25,1.85,Defender,2014,1,0,,,,,,
Roland Varga (footballer),Hungary,24,1.83,Forward,2014,3,2,,,,,,
B&#xE1;lint V&#xE9;csei,Hungary,21,1.85,Midfielder,2014,2,0,,,,,,
Theophilus Annorbaah,Ghana,26,,Forward,2014,6,1,,,,,,
Bryan Acosta,Honduras,20,,Midfielder,2014,1,0,,,,,,
Marvin da Gra&#xE7;a,Luxembourg,19,,Defender,2014,1,0,,,,,,
Rogelio Ch&#xE1;vez,Mexico,29,1.72,Defender,2014,1,0,,,,,,
Alan Pulido,Mexico,23,1.77,Forward,2014,6,4,,,,,,
Rodolfo Pizarro,Mexico,19,1.77,Defender,2014,0,0,,,,,,
Ciro Immobile,Italy,24,1.85,Forward,2014,4,0,,,,,,
Gabriel Paletta,Italy,28,,Defender,2014,3,0,,,,,,
Jean-Paul Bo&#xEB;tius,Netherlands,20,1.78,Midfielder,2014,1,0,,,,,,
Davy Klaassen,Netherlands,21,1.85,Midfielder,2014,1,0,,,,,,
Terence Kongolo,Netherlands,20,1.83,Defender,2014,2,0,,,,,,
Karim Rekik,Netherlands,19,1.86,Defender,2014,1,0,,,,,,
Quincy Promes,Netherlands,22,1.74,Midfielder,2014,1,0,,,,,,
Ramon Azeez,Nigeria,21,1.69,Midfielder,2014,3,0,,,,,,
Imoh Ezekiel,Nigeria,20,1.78,Forward,2014,1,0,,,,,,
Peter Omoduemuke,Nigeria,30,1.8,Midfielder,2014,6,1,,,,,,
Michael Uchebo,Nigeria,24,1.94,Forward,2014,4,1,,,,,,
Ivan Cavaleiro,Portugal,20,1.75,Forward,2014,1,0,,,,,,
Rafa Silva,Portugal,21,1.7,Midfielder,2014,3,0,,,,,,
Karol Linetty,Poland,19,1.76,Midfielder,2014,2,1,,,,,,
Rafa&#x142; Leszczy&#x144;ski (footballer),Poland,22,1.87,Goalkeeper,2014,1,0,,,,,,
Micha&#x142; Mas&#x142;owski,Poland,24,1.78,Midfielder,2014,2,0,,,,,,
V&#xED;ctor Centuri&#xF3;n,Paraguay,28,1.83,Goalkeeper,2014,2,0,,,,,,
Ram&#xF3;n Coronel,Paraguay,23,1.72,Defender,2014,2,0,,,,,,
David Ariel Mendieta Ch&#xE1;vez,Paraguay,28,1.73,Midfielder,2014,2,0,,,,,,
Maksim Kanunnikov,Russia,23,1.83,Forward,2014,3,0,,,,,,
Pavel Mogilevets,Russia,21,1.83,Midfielder,2014,1,0,,,,,,
Andrei Sergeyevich Semyonov,Russia,25,1.9,Defender,2014,1,0,,,,,,
Craig Forsyth,Scotland,25,1.88,Defender,2014,1,0,,,,,,
Andrew Robertson (footballer),Scotland,20,,Defender,2014,2,0,,,,,,
Nemanja Gudelj,Serbia,22,1.87,Midfielder,2014,4,0,,,,,,
Milan Luka&#x10D;,Serbia,28,1.97,Goalkeeper,2014,1,0,,,,,,
Vid Belec,Slovenia,24,1.92,Goalkeeper,2014,1,0,,,,,,
Ivan Firer,Slovenia,29,1.89,Forward,2014,1,0,,,,,,
Rajko Rotman,Slovenia,25,1.87,Midfielder,2014,2,0,,,,,,
Alexandru Mateiu,Romania,24,1.75,Midfielder,2014,1,0,,,,,,
Cosmin Matei,Romania,22,1.75,Midfielder,2014,2,0,,,,,,
Magnus Eriksson (footballer born 1990),Sweden,24,1.8,Forward,2014,1,0,,,,,,
Emil Forsberg,Sweden,22,1.75,Midfielder,2014,1,0,,,,,,
Erik Johansson (footballer born 1988),Sweden,25,1.91,Defender,2014,1,0,,,,,,
Muamer Tankovi&#x107;,Sweden,19,1.79,Forward,2014,1,0,,,,,,
U&#x11F;ur Demirok,Turkey,26,1.85,Defender,2014,2,0,,,,,,
&#x130;shak Do&#x11F;an,Turkey,24,1.87,Defender,2014,3,0,,,,,,
Murat Duruer,Turkey,26,1.82,Midfielder,2014,1,0,,,,,,
Ozan Tufan,Turkey,19,1.82,Defender,2014,3,0,,,,,,
Yevhen Makarenko,Ukraine,23,1.86,Defender,2014,2,0,,,,,,
Diego Costa,Spain,25,1.88,Forward,2014,4,0,,,,,,
Gerard Deulofeu,Spain,20,1.8,Forward,2014,1,0,,,,,,
David de Gea,Spain,23,1.92,Goalkeeper,2014,1,0,,,,,,
Ander Iturraspe,Spain,25,1.87,Midfielder,2014,1,0,,,,,,
Miguel Davis,Flemming Ahlberg,Denmark,,,1972-1978,1975,33,55.7619,,,,,
Clive Allen,England,53,53,,1984-1988,1986,5,51.5153,,,,,
Andy Goram,Scotland,50,50,1.81,1985-1998,1991.5,43,53.5931,,,,,
Georgios Anatolakis,Greece,40,40,1.85,1996-2007,2001.5,25,40.65,,,,,
User:Umi1903/sandbox,Turkey,51,19,10,Midfielder,1984-1989,1986.5,1946,1,1,Rize,40.5222,41.0247
Ernesto Mastr&#xE1;ngelo,Argentina,66,,Forward,NaN,,,,,,,,
Didier Bassamagne,Cameroon,22,1.89,Forward,NaN,1,0,,,,,,
Jaime Vera,Chile,51,,Forward,NaN,,,,,,,,
Egon S&#xF8;rensen,Denmark,,,Goalkeeper,NaN,,,,,,,,
Tommy Lawton,England,,,,NaN,3,2,,,,,,
Frank Roberts (footballer),England,,,Forward,NaN,4,2,,,,,,
Joseph Aziz,Ghana,40,1.75,Defender,NaN,12,7,,,,,,
Charles Sampson (footballer),Ghana,33,1.74,Midfielder,NaN,6,0,,,,,,
Georgios Paraschos,Greece,62,,Midfielder,NaN,4,0,,,,,,
Gerardo Lugo G&#xF3;mez,Mexico,59,1.69,Midfielder,NaN,,,,,,,,
Manuel Fleitas Solich,Paraguay,,,Midfielder,NaN,,,,,,,,
Patrik Ipavec,Slovenia,37,1.81,Forward,NaN,2,0,,,,,,
Kim Hwa-jip,South Korea,,,Defender,NaN,,,,,,,,
Guszt&#xE1;v Juh&#xE1;sz,Romania,,,Midfielder,NaN,20,0,,,,,,
David Acevedo,Argentina,77,,Defender,,,,,,,,,
Ram&#xF3;n Abeledo,Argentina,77,,Midfielder,,,,,,,,,
Ernesto Albarrac&#xED;n,Argentina,,,Midfielder,,,,,,,,,
&#xC1;ngel Grippa,Argentina,,,Goalkeeper,,,,,,,,,
Jorge Artigas,Argentina,38,1.76,Midfielder,,,,,,,,,
H&#xE9;ber Alberto Arriola,Argentina,34,1.87,Forward,,,,,,,,,
Agust&#xED;n Balbuena,Argentina,68,,Forward,,8,0,,,,,,
Ludovico Avio,Argentina,,,Forward,,,,,,,,,
Carlos Babington,Argentina,64,,Forward,,13,2,,,,,,
Ernesto Belis,Argentina,,,Defender,,,,,,,,,
Norberto Boggio,Argentina,83,1.71,Forward,,,,,,,,,
Ra&#xFA;l Bel&#xE9;n,Argentina,,,Forward,,,,,,,,,
Juan Botasso,Argentina,,1.69,Goalkeeper,,9,0,,,,,,
Germ&#xE1;n Caffa,Argentina,33,1.9,Goalkeeper,,,,,,,,,
Vladislao Cap,Argentina,,,Defender,,11,1,,,,,,
Zoilo Canavery,Argentina,,,Midfielder,,,,,,,,,
Renato Cesarini,Argentina,,,,,,,,,,,,
Mario Chald&#xFA;,Argentina,72,,Forward,,5,0,,,,,,
Ariel C&#xF3;lzera,Argentina,28,1.75,Defender,,,,,,,,,
Ernesto Cucchiaroni,Argentina,,1.69,Midfielder,,,,,,,,,
Julio Cozzi,Argentina,,1.78,Goalkeeper,,6,0,,,,,,
Mat&#xED;as Defederico,Argentina,25,1.7,Forward,,,,,,,,,
Jos&#xE9; Della Torre,Argentina,,1.79,Defender,,5,0,,,,,,
Alfredo Devincenzi,Argentina,,1.78,Forward,,8,1,,,,,,
Pablo De Blasis,Argentina,26,1.64,Midfielder,,,,,,,,,
&#xC1;ngel Gast&#xF3;n D&#xED;az,Argentina,33,1.75,Midfielder,,,,,,,,,
Federico Edwards,Argentina,83,,Defender,,,,,,,,,
Ignacio Don,Argentina,32,1.81,Goalkeeper,,,,,,,,,
Javier Elizondo,Argentina,31,1.76,Forward,,,,,,,,,
Enrique Chimento,Argentina,,,Defender,,,,,,,,,
Iv&#xE1;n Esper&#xF3;n,Argentina,,,Defender,,10,1,,,,,,
Ram&#xF3;n Astudillo,Argentina,,,Defender,,,,,,,,,
H&#xE9;ctor Facundo,Argentina,,,Forward,,,,,,,,,
Juan Gilberto Funes,Argentina,,,Forward,,4,0,,,,,,
H&#xE9;ctor Freschi,Argentina,,,Goalkeeper,,,,,,,,,
Juan Jos&#xE9; Ferraro,Argentina,,,Forward,,8,4,,,,,,
Alberto Galateo,Argentina,,,Forward,,,,,,,,,
Rub&#xE9;n Galv&#xE1;n (footballer),Argentina,62,,Midfielder,,,,,,,,,
Rub&#xE9;n Horacio Galletti,Argentina,63,,Midfielder,,,,,,,,,
Alberto Mario Gonz&#xE1;lez,Argentina,73,,Forward,,,,,,,,,
Esteban Gonz&#xE1;lez,Argentina,52,,Forward,,,,,,,,,
Ernesto Grillo,Argentina,,,Midfielder,,21,8,,,,,,
Diego Guidi,Argentina,33,1.86,Defender,,,,,,,,,
Patricio Hern&#xE1;ndez,Argentina,58,,Midfielder,,,,,,,,,
Agust&#xED;n Irusta,Argentina,72,,Goalkeeper,,0,,,,,,,
Sebasti&#xE1;n Jaime,Argentina,27,1.79,Forward,,,,,,,,,
Rolando Irusta,Argentina,76,,Goalkeeper,,,,,,,,,
Roberto Ira&#xF1;eta,Argentina,,,Forward,,,,,,,,,
Carlos Ischia,Argentina,57,,Defender,,,,,,,,,
Alejandro Kruchowski,Argentina,31,1.8,Defender,,,,,,,,,
Arcadio L&#xF3;pez,Argentina,,,Midfielder,,,,,,,,,
Alfonso Lorenzo,Argentina,,,Midfielder,,,,,,,,,
Nelson L&#xF3;pez,Argentina,73,,Defender,,,,,,,,,
Luis Izzeta,Argentina,,,Forward,,,,,,,,,
Andr&#xE9;s Mack,Argentina,,1.6,Midfielder,,,,,,,,,
Ra&#xFA;l Madero,Argentina,75,,Defender,,,,,,,,,
Eduardo Luj&#xE1;n Manera,Argentina,,,,,,,,,,,,
&#xC1;ngel Marcos,Argentina,71,1.74,Forward,,,,,,,,,
Alberto Mariotti,Argentina,79,,Defender,,,,,,,,,
Juan Marvezzi,Argentina,,,Forward,,9,9,,,,,,
Carlos Morete,Argentina,62,,Forward,,2,1,,,,,,
Milton Axel M&#xFC;ller,Argentina,24,1.75,Midfielder,,,,,,,,,
Arturo Na&#xF3;n,Argentina,,,Forward,,,,,,,,,
Juan Carlos Mur&#xFA;a,Argentina,,,Defender,,,,,,,,,
Francisco Olazar,Argentina,,,Midfielder,,18,1,,,,,,
Jos&#xE9; Nehin,Argentina,,,Midfielder,,,,,,,,,
Mauro Olivi,Argentina,31,1.74,Forward,,,,,,,,,
Alfredo Obberti,Argentina,69,1.85,Forward,,,,,,,,,
Miguel Oviedo,Argentina,63,,Midfielder,,,,,,,,,
Rub&#xE9;n Pagnanini,Argentina,65,,Defender,,,,,,,,,
Ra&#xFA;l P&#xE1;ez,Argentina,77,1.76,Defender,,,,,,,,,
Jos&#xE9; Luis Pavoni,Argentina,60,,Defender,,,,,,,,,
Manuel Pelegrina,Argentina,,,Forward,,,,,,,,,
Juan Pedevilla,Argentina,,,Defender,,,,,,,,,
Alfredo P&#xE9;rez (footballer),Argentina,,,Defender,,,,,,,,,
Vicente Pern&#xED;a,Argentina,65,,Defender,,10,0,,,,,,
Francisco P&#xE9;rez (footballer),Argentina,,,Forward,,,,,,,,,
Ismael Qu&#xED;lez,Argentina,25,1.72,Defender,,,,,,,,,
Eliseo Prado,Argentina,84,,Forward,,,,,,,,,
Carlos Prono,Argentina,50,,Goalkeeper,,,,,,,,,
V&#xED;ctor Ramos,Argentina,55,,Forward,,10,1,,,,,,
Miguel &#xC1;ngel Raimondo,Argentina,70,,Midfielder,,,,,,,,,
Germ&#xE1;n Real,Argentina,38,1.7,Forward,,,,,,,,,
Norberto Raffo,Argentina,,,Forward,,,,,,,,,
Alberto Rendo,Argentina,74,1.63,Midfielder,,,,,,,,,
Gerardo Reinoso,Argentina,49,1.67,Midfielder,,,,,,,,,
Francisco R&#xFA;a,Argentina,,,Forward,,,,,,,,,
N&#xE9;stor Rossi,Argentina,,1.85,Defender,,26,0,,,,,,
Alberto Sainz,Argentina,76,1.62,Defender,,,,,,,,,
Miguel &#xC1;ngel Santoro,Argentina,72,,Goalkeeper,,14,0,,,,,,
H&#xE9;ctor Scotta,Argentina,63,,Forward,,6,4,,,,,,
Andr&#xE9;s Stagnaro,Argentina,,,Defender,,3,0,,,,,,
Carlos Squeo,Argentina,66,,Defender,,,,,,,,,
Le&#xF3;n Strembel,Argentina,,,Midfielder,,5,0,,,,,,
Lucas Su&#xE1;rez,Argentina,30,1.9,Goalkeeper,,,,,,,,,
Rub&#xE9;n Su&#xF1;&#xE9;,Argentina,67,,Midfielder,,6,0,,,,,,
Leandro Testa,Argentina,38,1.76,Defender,,,,,,,,,
An&#xED;bal Tarabini,Argentina,,,Forward,,,,,,,,,
Juan Ram&#xF3;n Ver&#xF3;n,Argentina,70,,Forward,,,,,,,,,
Marcelo Ver&#xF3;n,Argentina,36,,Forward,,,,,,,,,
Lucas Viatri,Argentina,27,1.85,Forward,,,,,,,,,
Federico Wilde,Argentina,,,Forward,,,,,,,,,
Norberto Y&#xE1;cono,Argentina,,1.62,Defender,,15,0,,,,,,
Juan Yustrich,Argentina,,,Goalkeeper,,1,0,,,,,,
Daniel Willington,Argentina,71,,Forward,,6,1,,,,,,
Jos&#xE9; Yudica,Argentina,78,,Forward,,4,1,,,,,,
Mario Zanabria,Argentina,65,,Midfielder,,4,2,,,,,,
Roberto Zywica,Argentina,67,1.74,Midfielder,,,,,,,,,
Jorge Theiler,Argentina,50,,Defender,,,,,,,,,
Karl Daxbacher,Austria,61,1.85,Midfielder,,6,0,,,,,,
Christopher Drazan,Austria,23,1.84,Midfielder,,,,,,,,,
Kurt Garger,Austria,53,,Defender,,1,0,,,,,,
Walter Haummer,Austria,,,Forward,,16,4,,,,,,
Erich Hasenkopf,Austria,79,,Defender,,,,,,,,,
Michael Hatz,Austria,43,1.84,Defender,,9,,,,,,,
Andreas H&#xF6;lzl,Austria,29,1.76,Midfielder,,9,2,,,,,,
Christoph Jank,Austria,40,1.82,Defender,,,,,,,,,
Helmut K&#xF6;glberger,Austria,68,1.73,Forward,,28,6,,,,,,
Tomica Kocijan,Austria,46,1.72,Forward,,4,1,,,,,,
Stephan Marasek,Austria,44,1.8,Midfielder,,11,1,,,,,,
J&#xFC;rgen Macho,Austria,36,1.93,Goalkeeper,,,,,,,,,
Rupert Marko,Austria,50,1.77,Forward,,3,3,,,,,,
Michael M&#xF6;rz,Austria,34,1.75,Midfielder,,12,0,,,,,,
Karl Nickerl,Austria,83,,Defender,,,,,,,,,
Manuel Ortlechner,Austria,34,1.86,Defender,,,,,,,,,
Franz Pelikan,Austria,88,,Goalkeeper,,,,,,,,,
Christian Prosenik,Austria,46,1.8,Midfielder,,24,1,,,,,,
Johann Riegler,Austria,,,Midfielder,,,,,,,,,
Alfred Teinitzer,Austria,85,,Midfielder,,,,,,,,,
Johann Windisch,Austria,73,,Defender,,,,,,,,,
Thomas Winklhofer,Austria,43,1.84,Defender,,20,0,,,,,,
Raymond Ausloos,Belgium,,,Goalkeeper,,,,,,,,,
Jo Backaert,Belgium,93,,Midfielder,,,,,,,,,
Robert Braet,Belgium,,,Goalkeeper,,14,0,,,,,,
Gert Claessens,Belgium,42,1.89,Midfielder,,4,1,,,,,,
Jean De Bie,Belgium,,1.84,Goalkeeper,,,,,,,,,
Philippe Desmet,Belgium,55,1.81,Midfielder,,14,1,,,,,,
G&#xE9;rard Devos,Belgium,,,Forward,,9,,,,,,,
Gustaaf Eeckeman,Belgium,,,Midfielder,,2,0,,,,,,
Jacky Munaron,Belgium,57,1.8,Goalkeeper,,8,0,,,,,,
Karel Snoeckx,Belgium,40,1.81,Midfielder,,1,0,,,,,,
Jef Van Der Linden,Belgium,,,Defender,,,,,,,,,
Luc Van Hoyweghen,Belgium,,,Forward,,,,,,,,,
Michel Vanderbauwhede,Belgium,,,Forward,,15,7,,,,,,
Eddy Voordeckers,Belgium,54,1.69,Forward,,22,4,,,,,,
Hugo Alves Velame,Brazil,40,1.7,Midfielder,,,,,,,,,
Amarildo Tavares da Silveira,Brazil,,1.69,Forward,,,,,,,,,
Marco Ant&#xF4;nio,Brazil,63,1.85,Defender,,,,,,,,,
Thiago Fonseca de Andrade,Brazil,24,1.69,Forward,,,,,,,,,
&#xC1;ttila de Carvalho,Brazil,10,,Forward,,,,,,,,,
Humberto de Ara&#xFA;jo Benevenuto,Brazil,,,Defender,,,,,,,,,
Cafu,Brazil,44,1.76,Defender,,,,,,,,,
Heitor Canalli,Brazil,,,Midfielder,,,,,,,,,
Walter Casagrande,Brazil,51,1.91,Forward,,,,,,,,,
Carlos Andrade Souza,Brazil,27,1.75,Defender,,,,,,,,,
Diego Cavalieri,Brazil,31,,Goalkeeper,,,,,,,,,
S&#xED;lvio C&#xE9;sar Ferreira Costa,Brazil,44,1.88,Forward,,,,,,,,,
Dyego Rocha Coelho,Brazil,31,1.79,Defender,,,,,,,,,
Elzo Coelho,Brazil,53,1.77,Midfielder,,,,,,,,,
Edvaldo Alves de Santa Rosa,Brazil,,,,,,,,,,,,
Doca (player),Brazil,,,Forward,,,,,,,,,
Ely do Amparo,Brazil,,,Defender,,19,0,,,,,,
Herm&#xF3;genes Fonseca,Brazil,,,Midfielder,,,,,,,,,
